model,lang_id,group,layer,n_layers,cos_mean,n_samples
whisper-large-v3,kk_kz,?,1,32,0.970959,264
whisper-large-v3,kk_kz,?,2,32,0.935455,264
whisper-large-v3,kk_kz,?,3,32,0.951355,264
whisper-large-v3,kk_kz,?,4,32,0.942777,264
whisper-large-v3,kk_kz,?,5,32,0.934283,264
whisper-large-v3,kk_kz,?,6,32,0.959011,264
whisper-large-v3,kk_kz,?,7,32,0.944066,264
whisper-large-v3,kk_kz,?,8,32,0.924041,264
whisper-large-v3,kk_kz,?,9,32,0.930039,264
whisper-large-v3,kk_kz,?,10,32,0.924228,264
whisper-large-v3,kk_kz,?,11,32,0.963914,264
whisper-large-v3,kk_kz,?,12,32,0.940752,264
whisper-large-v3,kk_kz,?,13,32,0.929726,264
whisper-large-v3,kk_kz,?,14,32,0.956341,264
whisper-large-v3,kk_kz,?,15,32,0.934397,264
whisper-large-v3,kk_kz,?,16,32,0.951145,264
whisper-large-v3,kk_kz,?,17,32,0.956321,264
whisper-large-v3,kk_kz,?,18,32,0.941663,264
whisper-large-v3,kk_kz,?,19,32,0.949446,264
whisper-large-v3,kk_kz,?,20,32,0.948955,264
whisper-large-v3,kk_kz,?,21,32,0.954731,264
whisper-large-v3,kk_kz,?,22,32,0.942372,264
whisper-large-v3,kk_kz,?,23,32,0.933481,264
whisper-large-v3,kk_kz,?,24,32,0.921353,264
whisper-large-v3,kk_kz,?,25,32,0.90065,264
whisper-large-v3,kk_kz,?,26,32,0.90476,264
whisper-large-v3,kk_kz,?,27,32,0.888157,264
whisper-large-v3,kk_kz,?,28,32,0.871897,264
whisper-large-v3,kk_kz,?,29,32,0.882088,264
whisper-large-v3,kk_kz,?,30,32,0.886614,264
whisper-large-v3,kk_kz,?,31,32,0.880741,264
whisper-large-v3,kk_kz,?,32,32,0.884931,264
whisper-large-v3,jv_id,?,1,32,0.969024,264
whisper-large-v3,jv_id,?,2,32,0.93641,264
whisper-large-v3,jv_id,?,3,32,0.951813,264
whisper-large-v3,jv_id,?,4,32,0.944793,264
whisper-large-v3,jv_id,?,5,32,0.934767,264
whisper-large-v3,jv_id,?,6,32,0.956162,264
whisper-large-v3,jv_id,?,7,32,0.944717,264
whisper-large-v3,jv_id,?,8,32,0.919771,264
whisper-large-v3,jv_id,?,9,32,0.927464,264
whisper-large-v3,jv_id,?,10,32,0.916788,264
whisper-large-v3,jv_id,?,11,32,0.960587,264
whisper-large-v3,jv_id,?,12,32,0.937494,264
whisper-large-v3,jv_id,?,13,32,0.929454,264
whisper-large-v3,jv_id,?,14,32,0.956965,264
whisper-large-v3,jv_id,?,15,32,0.934045,264
whisper-large-v3,jv_id,?,16,32,0.951768,264
whisper-large-v3,jv_id,?,17,32,0.956117,264
whisper-large-v3,jv_id,?,18,32,0.942465,264
whisper-large-v3,jv_id,?,19,32,0.953374,264
whisper-large-v3,jv_id,?,20,32,0.951471,264
whisper-large-v3,jv_id,?,21,32,0.958069,264
whisper-large-v3,jv_id,?,22,32,0.950813,264
whisper-large-v3,jv_id,?,23,32,0.948,264
whisper-large-v3,jv_id,?,24,32,0.935441,264
whisper-large-v3,jv_id,?,25,32,0.919584,264
whisper-large-v3,jv_id,?,26,32,0.923028,264
whisper-large-v3,jv_id,?,27,32,0.905752,264
whisper-large-v3,jv_id,?,28,32,0.886499,264
whisper-large-v3,jv_id,?,29,32,0.898696,264
whisper-large-v3,jv_id,?,30,32,0.895151,264
whisper-large-v3,jv_id,?,31,32,0.890585,264
whisper-large-v3,jv_id,?,32,32,0.894619,264
whisper-large-v3,mt_mt,?,1,32,0.969552,264
whisper-large-v3,mt_mt,?,2,32,0.929405,264
whisper-large-v3,mt_mt,?,3,32,0.949412,264
whisper-large-v3,mt_mt,?,4,32,0.940564,264
whisper-large-v3,mt_mt,?,5,32,0.932893,264
whisper-large-v3,mt_mt,?,6,32,0.955106,264
whisper-large-v3,mt_mt,?,7,32,0.941011,264
whisper-large-v3,mt_mt,?,8,32,0.917668,264
whisper-large-v3,mt_mt,?,9,32,0.925457,264
whisper-large-v3,mt_mt,?,10,32,0.917676,264
whisper-large-v3,mt_mt,?,11,32,0.96256,264
whisper-large-v3,mt_mt,?,12,32,0.939656,264
whisper-large-v3,mt_mt,?,13,32,0.928662,264
whisper-large-v3,mt_mt,?,14,32,0.956675,264
whisper-large-v3,mt_mt,?,15,32,0.93115,264
whisper-large-v3,mt_mt,?,16,32,0.950873,264
whisper-large-v3,mt_mt,?,17,32,0.956435,264
whisper-large-v3,mt_mt,?,18,32,0.941576,264
whisper-large-v3,mt_mt,?,19,32,0.951175,264
whisper-large-v3,mt_mt,?,20,32,0.949465,264
whisper-large-v3,mt_mt,?,21,32,0.955762,264
whisper-large-v3,mt_mt,?,22,32,0.94439,264
whisper-large-v3,mt_mt,?,23,32,0.940085,264
whisper-large-v3,mt_mt,?,24,32,0.928775,264
